date,equity,close,state,side,emaFast,ema52,dea,fourDif,priceCross,longAllowed,filterLong
"2025-01-20",13038.001716390274,102260.01,"up",1,98447.04094976399,95883.63903888974,696.1249705798859,1029.6697562090849,false,true,true
"2025-01-21",13440.21545001006,106143.82,"up",1,99039.10087670523,96270.81567893163,930.8685173802678,861.1655620284291,false,true,true
"2025-01-22",13187.819163109107,103706.66,"up",1,99398.14388618944,96551.41357783988,1137.0128737070322,509.34989586535085,false,true,true
"2025-01-23",13208.912597974271,103910.34,"up",1,99745.2358949441,96829.10891452516,1315.0834968156405,84.59471025715175,false,true,true
"2025-01-24",13308.348342377929,104870.5,"up",1,100139.48697994841,97132.55763473177,1478.5447422301013,415.85816333237744,false,true,true
"2025-01-25",13295.54294557374,104746.85,"up",1,100493.89951995239,97419.88942210039,1618.9375380658669,285.77008765679784,false,true,true
"2025-01-26",13075.282871226837,102620,"up",1,100657.4457107253,97616.12000994565,1699.8893185707416,42.09656548428757,false,true,true
"2025-01-27",13019.65266498901,102082.83,"up",1,100767.09065605412,97784.67510390998,1726.896370901988,-1015.1554467130918,false,true,true
"2025-01-28",12942.260015690665,101335.52,"up",1,100810.81599020382,97918.66925093223,1702.8173176554146,-568.5303625552915,false,true,true
"2025-01-29",13190.571831504216,103733.24,"up",1,101035.61783711122,98138.087015048,1682.3539040056867,-136.31127004307928,false,true,true
"2025-01-30",13293.066786757821,104722.94,"up",1,101319.25800348728,98386.57203334807,1677.185089784035,592.3223241209053,false,true,true
"2025-01-31",13055.560592477219,102429.56,"up",1,101404.66584937288,98539.13761699531,1641.4614094200174,166.8257717062079,false,true,true
"2025-02-01",12869.7803306009,100635.65,"up",1,101345.51078403651,98618.25129182568,1556.097216348995,-516.5821418749983,false,true,true
"2025-02-02",12565.820703070694,97700.59,"up",1,101065.13226218754,98583.62256383225,1393.7204152548557,-1362.2945781050075,false,true,true
"2025-02-03",12555.702669726954,101328.52,"up",0,101085.39285740389,98687.20359915934,1246.2905971887587,-1090.5989677303587,true,true,true
"2025-02-04",12193.83921096298,97763.13,"up",1,100829.83417606514,98652.33289730427,1056.2335097233295,-800.0797043080238,false,true,true
"2025-02-05",12184.192060323934,96612.43,"up",0,100505.41847021399,98575.35542948147,828.6554659437444,-891.1758056499384,false,true,true
"2025-02-06",12184.192060323934,96554.35,"up",0,100201.49012635139,98499.09107365197,586.6747248526941,-826.8249224147148,false,true,true
"2025-02-07",12184.192060323934,96506.8,"up",0,99917.28319355514,98423.91027841983,346.2558995669727,-617.0895727606548,false,true,true
"2025-02-08",12184.192060323934,96444.74,"up",0,99650.1644863586,98349.22460753606,117.63988665383462,-652.817509168075,false,true,true
"2025-02-09",12184.192060323934,96462.75,"transition",0,99404.97875663871,98278.03688649696,-91.57470902213403,-462.4495372178935,false,false,true
"2025-02-10",12184.192060323934,97430.82,"transition",0,99253.12039074344,98246.0664379499,-262.007788687182,-90.17161806682998,false,false,true
